#,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
59,Tanner Bibee,CLE,7.09,3.82,1.86,1.36,18.1%,9.7%,8.3%,0.256,1.42,0.286,73.2%,118,119,131,4.91,4.86,0.05,5.45,5.14
60,Brady Singer,CIN,7.26,4.65,1.56,2.32,16.3%,10.5%,5.9%,0.311,1.84,0.333,66.9%,189,157,125,8.13,6.88,1.25,5.28,5.08
61,Jeffrey Springs,ATH,5.67,3.33,1.7,1.67,14.8%,8.7%,6.1%,0.25,1.33,0.256,73.3%,111,125,117,5,5.47,-0.47,4.86,5.07
62,Casey Mize,SDP,5.79,1.93,3,2.7,15.2%,5.1%,10.1%,0.237,1.16,0.211,54.9%,124,154,124,5.01,6.49,-1.47,5.24,5.04
63,Gabriel Hughes,COL,6.66,3.86,1.73,1.4,15.8%,9.2%,6.7%,0.296,1.68,0.329,57.3%,155,115,115,7.36,5.05,2.31,4.85,5.02
64,Nolan McLean,NYM,7.5,4.8,1.56,0.6,19.7%,12.6%,7.1%,0.229,1.37,0.28,84.6%,58,98,114,2.4,4.1,-1.7,4.8,5.01
65,Cade Povich,BAL,7.2,5.4,1.33,0,18.2%,13.6%,4.5%,0.263,1.6,0.333,87.5%,44,80,108,1.8,3.3,-1.5,4.51,4.95
66,Brandon Young,BAL,6.33,3,2.11,2.67,16.1%,7.6%,8.5%,0.29,1.48,0.288,84.4%,131,163,120,5.33,6.77,-1.44,4.99,4.92
67,Nick Lodolo,CIN,7.83,4.3,1.82,1.96,18.3%,10.1%,8.3%,0.309,1.74,0.348,78.4%,137,140,124,5.87,6.15,-0.28,5.23,4.91
68,Matthew Boyd,CHC,5.91,3.09,1.92,1.54,15.9%,8.3%,7.6%,0.252,1.29,0.265,62.2%,137,126,112,5.66,5.22,0.44,4.72,4.9
69,Keider Montero,DET,5.89,2.45,2.4,1.96,15.4%,6.4%,9.0%,0.25,1.25,0.25,65.2%,140,134,120,5.89,5.61,0.28,5,4.89
70,Jake Irvin,WSN,8.31,4.85,1.71,1.38,20.0%,11.7%,8.3%,0.288,1.69,0.342,79.2%,113,119,117,4.85,5.1,-0.26,4.96,4.87
71,George Klassen,LAA,7.3,4.38,1.67,0,20.4%,12.2%,8.2%,0.163,1.05,0.212,76.9%,35,71,106,1.46,2.94,-1.48,4.41,4.83
72,Ryan Gusto,MIA,6.75,3.38,2,0.92,16.8%,8.4%,8.4%,0.291,1.53,0.337,82.2%,72,103,114,3.07,4.36,-1.3,4.84,4.83
73,Kade Anderson,SEA,6.86,3.43,2,1.71,18.4%,9.2%,9.2%,0.266,1.38,0.288,81.2%,110,130,112,4.29,5.2,-0.91,4.66,4.81
74,Jack Perkins,ATH,10.38,6.23,1.67,2.08,24.2%,14.5%,9.7%,0.288,1.85,0.353,76.9%,123,139,116,5.54,6.1,-0.56,4.85,4.77
75,Ranger Suarez,BOS,6.07,2.73,2.22,0.91,16.1%,7.3%,8.9%,0.243,1.21,0.273,78.2%,85,106,117,3.64,4.38,-0.74,4.85,4.74
76,Michael Soroka,ARI,8,4,2,0,18.2%,9.1%,9.1%,0.308,1.78,0.387,52.9%,189,73,107,8,2.99,5.01,4.5,4.73
77,Paul Skenes,PIT,6.26,2.96,2.11,0.99,17.0%,8.0%,8.9%,0.228,1.17,0.253,80.5%,76,103,106,3.29,4.35,-1.05,4.47,4.72
78,Randy Vásquez,SDP,4.32,1.62,2.67,0,13.1%,4.9%,8.2%,0.14,0.66,0.163,66.7%,54,68,104,2.16,2.86,-0.7,4.4,4.7
79,Dean Kremer,MIN,8.37,4.18,2,1.52,20.8%,10.4%,10.4%,0.274,1.56,0.319,60.5%,155,118,114,6.46,4.84,1.63,4.74,4.7
80,Andrew Sears,DET,8.1,2.7,3,0.9,20.0%,6.7%,13.3%,0.275,1.4,0.333,75.3%,107,98,133,4.5,4.1,0.4,5.52,4.7
81,Troy Melton,DET,5.79,1.93,3,1.61,14.2%,4.7%,9.4%,0.299,1.46,0.319,65.8%,123,124,116,5.14,5.21,-0.07,4.83,4.69
82,Andrew Abbott,CIN,7.59,2.53,3,2.95,17.8%,5.9%,11.9%,0.326,1.73,0.343,51.5%,206,149,117,8.86,6.53,2.33,4.95,4.68
